sample.id,latitude,longitude,jrc.water,satellite,year,doy,collection.number,landsat.scene.id,processing.level,sun.elevation,qa.pixel,qa.radsat,cloud.cover,geometric.rmse.model,blue,green,red,nir,swir1,swir2,clear,snow,water,ndvi
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1986,187,2,LT52170031986188KIS00,L2SP,33.2019435,5440,0,50,12.15,0.18467,0.2121975,0.2143425,0.2466275,0.2484425,0.2148375,1,0,0,0.127185187444054
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1988,255,2,LT52190031988256KIS00,L2SP,14.47660649,5440,0,80,8.508,0.214315,0.235435,0.2087325,0.2361225,0.19281,0.1872825,1,0,0,0.12568805746205
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1989,186,2,LT52180031989187KIS00,L2SP,33.24597041,5440,0,44,6.701,0.1266175,0.1468025,0.14881,0.1724875,0.1936625,0.16586,1,0,0,0.132665580604158
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1989,211,2,LT52170031989212KIS00,L2SP,28.80918694,5440,0,6,6.909,0.111575,0.14485,0.1419075,0.1544475,0.17048,0.1522475,1,0,0,0.113490221042635
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1989,252,2,LT52160031989253KIS00,L2SP,15.37075321,5440,0,29,12.163,0.1245825,0.139625,0.1402575,0.1530725,0.157665,0.14155,1,0,0,0.116481201622822
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1990,173,2,LT52180031990174KIS00,L2SP,34.08140488,5440,0,23,8.432,0.1395975,0.1422925,0.14771,0.1512575,0.1477375,0.1437225,1,0,0,0.0835244369937747
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1991,160,2,LT52180031991161KIS00,L2SP,33.61827167,5440,0,3,14.304,0.1692975,0.1668225,0.16421,0.1532925,0.1312375,0.1140225,1,0,0,0.068119619520493
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1991,169,2,LT52170031991170KIS00,L2SP,34.06407665,5440,0,60,14.023,0.1601675,0.1655575,0.162505,0.1817825,0.179225,0.15838,1,0,0,0.11646874035029
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1991,178,2,LT52160031991179KIS00,L2SP,33.9533646,5440,0,58,12.073,0.1311825,0.1497725,0.1490025,0.151835,0.1591225,0.1441625,1,0,0,0.0819982750015162
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1991,242,2,LT52160031991243KIS00,L2SP,19.36665167,5440,0,79,12.842,0.2015825,0.21382,0.22339,0.23824,0.2295225,0.2006475,1,0,0,0.113205690955686
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1992,197,2,LT52160031992198KIS00,L2SP,31.9463291,5440,0,65,12.71,0.123235,0.1551075,0.1487275,0.1685825,0.1628625,0.1438875,1,0,0,0.119715037579262
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1992,204,2,LT52170031992205KIS00,L2SP,30.6397412,5440,0,39,11.923,0.1493875,0.1613775,0.149085,0.1567575,0.13176,0.107835,1,0,0,0.104055456571632
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1992,231,2,LT52140041992232KIS00,L2SP,24.4109952,5440,0,42,12.314,0.133135,0.146555,0.14133,0.1633025,0.168115,0.145895,1,0,0,0.143101624679006
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1992,238,2,LT52150031992239KIS00,L2SP,20.87398391,5440,0,41,12.489,0.1268925,0.1480125,0.143695,0.1709475,0.1562075,0.14441,1,0,0,0.152294588435569
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1992,238,2,LT52150041992239KIS00,L2SP,22.02752235,5440,0,10,12.264,0.1219975,0.139185,0.14441,0.1644025,0.1575825,0.145455,1,0,0,0.126672599457722
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1992,240,2,LT52130041992241KIS00,L2SP,21.32408142,5440,0,23,11.749,0.1326675,0.134015,0.14122,0.1778775,0.17961,0.13275,1,0,0,0.162736500989493
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1992,247,2,LT52140041992248KIS00,L2SP,18.77229148,5440,0,29,11.001,0.136765,0.1426775,0.148975,0.18049,0.181535,0.149415,1,0,0,0.153985597835936
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1993,172,2,LT52190031993173KIS00,L2SP,34.07718967,5440,0,22,12.336,0.1312375,0.1454825,0.1398175,0.1476825,0.1419625,0.12945,1,0,0,0.0947647412035066
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1993,197,2,LT52180031993198KIS00,L2SP,31.83308147,5440,0,33,11.564,0.0958175,0.11966,0.1272225,0.1639625,0.1642375,0.145125,1,0,0,0.158342115825565
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1993,206,2,LT52170031993207KIS00,L2SP,30.06224782,5440,0,31,12.091,0.147985,0.16212,0.1664925,0.18852,0.1660525,0.1444925,1,0,0,0.12212515414894
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1995,235,2,LT52180031995236KIS00,L2SP,21.90805543,5440,0,41,12.693,0.1007675,0.10899,0.1340975,0.188025,0.18489,0.16949,1,0,0,0.212220701600964
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1996,229,2,LT52190031996230KIS00,L2SP,24.03382322,5440,0,40,11.788,0.1171575,0.1458125,0.14661,0.206285,0.181315,0.1442175,1,0,0,0.211743856154845
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1997,153,2,LT52170031997154KIS00,L2SP,32.90692016,5440,0,6,14.98,0.17103,0.1694625,0.1630275,0.1624225,0.1554925,0.1344275,1,0,0,0.0724996124029537
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1997,167,2,LT52190031997168KIS00,L2SP,33.97203229,5440,0,3,13.414,0.11152,0.1221075,0.1212825,0.161845,0.1586825,0.1386625,1,0,0,0.16930053084187
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_5,1998,202,2,LT52190031998203KIS00,L2SP,30.7676834,5442,0,73,11.684,0.2285875,0.24473,0.246985,0.2742925,0.270745,0.22097,1,0,0,0.117948335025535
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_7,1999,190,2,LE72180031999191SGS00,L2SP,32.50663712,5440,0,12,8.454,0.089135,0.1003825,0.1196325,0.1897575,0.236645,0.18126,1,0,0,0.226655677300495
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_7,1999,212,2,LE72120041999213KIS00,L2SP,29.62002773,5440,0,78,10.614,0.112125,0.1330525,0.1522475,0.22592,0.268105,0.1934975,1,0,0,0.194814467134273
pixel_1 _PYR_pig,78.6531144,16.3268276,0,LANDSAT_7,2000,195,2,LE72160032000196AGS00,L2SP,31.89590848,5440,0,55,5.903,0.1419625,0.1581875,0.1694625,0.2172575,0.2337575,0.2113725,1,0,0,0.123590711625983
