sample.id,latitude,longitude,jrc.water,satellite,year,doy,collection.number,landsat.scene.id,processing.level,sun.elevation,qa.pixel,qa.radsat,cloud.cover,geometric.rmse.model,blue,green,red,nir,swir1,swir2,clear,snow,water,ndvi
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1985,241,2,LT52160031985242KIS00,L2SP,19.46256069,5440,0,33,6.409,0.12934,0.17455,0.1755125,0.6672125,0.3919375,0.202985,1,0,0,0.55771603122935
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1985,241,2,LT52160041985242KIS00,L2SP,20.65368638,5440,0,35,6.68,0.1256,0.175815,0.1782075,0.6833275,0.4033775,0.20777,1,0,0,0.560174411124753
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1985,242,2,LT52230021985243KIS00,L2SP,17.90032427,5440,0,68,12.611,0.11317,0.1864575,0.208375,0.7850775,0.5489075,0.28961,1,0,0,0.536594670223111
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1986,187,2,LT52170031986188KIS00,L2SP,33.2019435,5440,0,50,12.15,0.2705525,0.2909025,0.2786375,0.4211975,0.3038825,0.23846,1,0,0,0.208528753921696
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1987,126,2,LT52170031987127KIS00,L2SP,27.34611848,5440,0,4,8.003,0.4656375,0.5509975,0.575665,0.7359075,0.3972725,0.2356,1,0,0,0.146578816589233
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1987,142,2,LT52170031987143KIS00,L2SP,31.12082463,5440,0,19,10.311,0.312325,0.3521175,0.3736775,0.634295,0.44284,0.270525,1,0,0,0.254314397057009
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1987,147,2,LT52200031987148KIS00,L2SP,32.01389036,5440,0,67,8.568,0.33119,0.371725,0.3874825,0.62313,0.407805,0.236205,1,0,0,0.237499414033653
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1987,190,2,LT52170031987191KIS00,L2SP,32.94596029,5440,0,44,6.833,0.116085,0.1613775,0.1455925,0.5593025,0.37629,0.1912425,1,0,0,0.562379826205778
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1988,136,2,LT52180031988137KIS00,L2SP,29.70295346,5440,0,63,12.331,0.41226,0.467865,0.4880225,0.6717225,0.38311,0.2272675,1,0,0,0.184505673641371
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1988,150,2,LT52200031988151KIS00,L2SP,32.3349304,5440,0,71,8.37,0.2587,0.2998675,0.3038275,0.527705,0.4330225,0.2386525,1,0,0,0.254078653291438
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1988,189,2,LT52210031988190KIS00,L2SP,32.99680987,5440,0,79,8.354,0.150845,0.1743575,0.1722125,0.369305,0.282405,0.178565,1,0,0,0.346774787182343
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1989,138,2,LT52180031989139KIS01,L2SP,30.30339445,5440,0,23,6.824,0.353025,0.4211975,0.4396775,0.6508225,0.466325,0.249075,1,0,0,0.2013670076525
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1989,150,2,LT52220031989151KIS00,L2SP,32.44246605,5440,0,80,14.083,0.3016825,0.33856,0.3808825,0.6138625,0.4209225,0.2383225,1,0,0,0.235457489586184
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1989,177,2,LT52190031989178KIS00,L2SP,33.87071949,5440,0,64,11.989,0.127415,0.1424025,0.1329425,0.2935425,0.20942,0.114545,1,0,0,0.364137480418545
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1989,179,2,LT52170031989180KIS00,L2SP,33.78405799,5440,0,17,11.104,0.1239225,0.1637975,0.18137,0.5397775,0.3916625,0.21239,1,0,0,0.481958411998095
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1989,186,2,LT52180031989187KIS00,L2SP,33.24597041,5440,0,44,6.701,0.209255,0.239175,0.2220975,0.417705,0.3346,0.252485,1,0,0,0.319733500739052
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1989,209,2,LT52190031989210KIS00,L2SP,29.2970925,5440,0,39,12.265,0.08886,0.126975,0.1092375,0.5987925,0.37607,0.176475,1,0,0,0.63064179279011
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1989,211,2,LT52170031989212KIS00,L2SP,28.80918694,5440,0,6,6.909,0.0995025,0.133575,0.1266175,0.5734925,0.3718625,0.1805175,1,0,0,0.587833291836508
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1990,178,2,LT52210031990179KIS00,L2SP,33.94292406,5440,0,26,12.162,0.1978425,0.2195675,0.21107,0.3440325,0.2145625,0.1366,1,0,0,0.235873426147427
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1991,160,2,LT52180031991161KIS00,L2SP,33.61827167,5440,0,3,14.304,0.2657675,0.3324,0.3418875,0.5177775,0.32063,0.18896,1,0,0,0.212372587860017
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1991,165,2,LT52210031991166KIS00,L2SP,33.93487151,5440,0,44,14.906,0.362375,0.3994175,0.40511,0.51687,0.466655,0.38608,1,0,0,0.134792783250721
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1991,197,2,LT52210031991198KIS00,L2SP,31.92490595,5440,0,67,14.473,0.118615,0.1622575,0.15101,0.5433525,0.378545,0.190995,1,0,0,0.512862964282086
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1991,201,2,LT52170031991202KIS00,L2SP,31.20980701,5440,0,52,12.408,0.1153425,0.152385,0.14298,0.5487425,0.347195,0.16641,1,0,0,0.560441089820781
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1992,184,2,LT52210031992185KIS00,L2SP,33.56304511,5440,0,0,14.715,0.1411925,0.1762,0.1795275,0.4669575,0.3779675,0.2006475,1,0,0,0.429756668639445
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1992,204,2,LT52170031992205KIS00,L2SP,30.6397412,5440,0,39,11.923,0.13935,0.1633575,0.15585,0.5343325,0.3318775,0.1554925,1,0,0,0.511115217018568
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1992,209,2,LT52200031992210KIS00,L2SP,29.53381146,5440,0,18,13.813,0.116525,0.15024,0.1519725,0.5318025,0.36441,0.1749625,1,0,0,0.509978547665081
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1992,221,2,LT52240021992222KIS00,L2SP,25.20520928,5440,0,78,11.35,0.143145,0.182305,0.173065,0.5739325,0.3294575,0.154585,1,0,0,0.484425492767968
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1992,239,2,LT52220031992240KIS00,L2SP,20.51029687,5440,0,40,10.415,0.138745,0.1795825,0.1762825,0.5918075,0.4307675,0.2209425,1,0,0,0.490100866115982
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1992,241,2,LT52200031992242KIS00,L2SP,19.79878116,5440,0,7,12.085,0.1252425,0.18621,0.1667125,0.6107825,0.44977,0.2124175,1,0,0,0.525840204295814
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1993,147,2,LT52200031993148KIS00,L2SP,32.10050725,5440,0,18,13.815,0.530345,0.5871875,0.62104,0.675105,0.26783,0.157995,1,0,0,0.0867092365110958
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1993,172,2,LT52190031993173KIS00,L2SP,34.07718967,5440,0,22,12.336,0.1828275,0.22218,0.23813,0.5008925,0.3861625,0.2095025,1,0,0,0.328697509966753
pixel_1 _BC_Fjort,79.1303426,11.8510515,0,LANDSAT_5,1993,197,2,LT52180031993198KIS00,L2SP,31.83308147,5442,0,33,11.564,0.22273,0.260515,0.265135,0.5500625,0.4095925,0.284,1,0,0,0.328860802434088
