sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy
pixel_1 _BC_Fjort,1985,79.1303426,11.8510515,18,0.55034932443907,0.551038356905506,0.551642623215258,0.557534077577592,0.553834087498803,0.561667047154971,226
pixel_1 _BC_Fjort,1987,79.1303426,11.8510515,8,0.554497995816885,0.554497995816885,0.554497995816885,0.647279422256969,0.643304737503128,0.651367163737929,227
pixel_1 _BC_Fjort,1988,79.1303426,11.8510515,9,0.37419034476356,0.37419034476356,0.37419034476356,0.472164169474228,0.467835742312173,0.492120371225656,228
pixel_1 _BC_Fjort,1989,79.1303426,11.8510515,31,0.534193982762144,0.599329503376381,0.641561695027076,0.641561695027076,0.472557103217863,0.675165529847662,228
pixel_1 _BC_Fjort,1991,79.1303426,11.8510515,23,0.548502308140559,0.554810470494656,0.554810470494656,0.601962455921705,0.595605495567366,0.617894954160483,228
pixel_1 _BC_Fjort,1992,79.1303426,11.8510515,77,0.519009985091782,0.536626479245806,0.541228487645001,0.551252911584713,0.519452952581028,0.588096152173779,229
pixel_1 _BC_Fjort,1993,79.1303426,11.8510515,2,0.369176672694486,0.369176672694486,0.369176672694486,0.44227690724822,0.434833488285203,0.449720326211238,232
pixel_1 _BC_Fjort,1994,79.1303426,11.8510515,14,0.583724897639063,0.583724897639063,0.583724897639063,0.587258775726009,0.583724897639063,0.593299006137354,230
pixel_1 _BC_Fjort,1995,79.1303426,11.8510515,63,0.535924127296754,0.514284495571014,0.660056878792769,0.660056878792769,0.439956143075917,0.682132364357169,228
pixel_1 _BC_Fjort,1998,79.1303426,11.8510515,20,0.557763011685051,0.539521800565594,0.580057825275498,0.605226982321378,0.567787950992847,0.662524347763252,226
pixel_1 _BC_Fjort,1999,79.1303426,11.8510515,11,0.524890128309505,0.524890128309505,0.524890128309505,0.605510791767648,0.544856223901804,0.617443950124753,221
pixel_1 _BC_Fjort,2000,79.1303426,11.8510515,34,0.510642201438981,0.493624486748787,0.625585098186923,0.625585098186923,0.428495842026975,0.679735607401151,219
pixel_1 _BC_Fjort,2001,79.1303426,11.8510515,4,0.321892530671969,0.321989033075436,0.33239443215993,0.44961755428296,0.440777817063516,0.458878527353941,204
pixel_1 _BC_Fjort,2002,79.1303426,11.8510515,22,0.529454864198455,0.529454864198455,0.543119722838828,0.590523158574964,0.559485865134352,0.664071174656647,214
pixel_1 _BC_Fjort,2005,79.1303426,11.8510515,6,0.48819759618674,0.48819759618674,0.48819759618674,0.593918054150272,0.577123356447645,0.625924908199761,219
pixel_1 _BC_Fjort,2006,79.1303426,11.8510515,33,0.533590698078007,0.554650967826156,0.555175794784009,0.555416667238508,0.491489414102973,0.601454116295522,223
pixel_1 _BC_Fjort,2007,79.1303426,11.8510515,23,0.457941473949637,0.415037109246047,0.533612983022946,0.536450387391552,0.453516345228927,0.601008354913416,227
pixel_1 _BC_Fjort,2009,79.1303426,11.8510515,11,0.352963029414803,0.352963029414803,0.352963029414803,0.465002224281704,0.4314507854408,0.486225204164813,235
pixel_1 _BC_Fjort,2010,79.1303426,11.8510515,50,0.463741557983844,0.463661057700203,0.492608715274501,0.521893454653741,0.435251272173847,0.578093553736182,238
pixel_1 _BC_Fjort,2011,79.1303426,11.8510515,69,0.489943511727979,0.516598421737971,0.5331570616273,0.556752720180731,0.447233851638102,0.614506447779234,248
pixel_1 _BC_Fjort,2013,79.1303426,11.8510515,55,0.550268780694962,0.547777088572845,0.577636879209102,0.580327643030641,0.552627873577057,0.623159875632491,254
pixel_1 _BC_Fjort,2014,79.1303426,11.8510515,156,0.457243839131602,0.456462236235239,0.538626581813748,0.538626581813748,0.395862063647661,0.63086142717664,255
pixel_1 _BC_Fjort,2015,79.1303426,11.8510515,232,0.40036546631015,0.380334296415997,0.491779001677479,0.491779001677479,0.376647309386284,0.549599597174305,255
pixel_1 _BC_Fjort,2016,79.1303426,11.8510515,122,0.428687343320906,0.437499668258695,0.466993720917035,0.489639044133221,0.377330486772398,0.540280138530357,255
pixel_1 _BC_Fjort,2017,79.1303426,11.8510515,140,0.425659685405824,0.434623171638149,0.46214255385468,0.470499472310703,0.375411860016132,0.549572594258185,256
pixel_1 _BC_Fjort,2018,79.1303426,11.8510515,104,0.448550926384736,0.449459023952314,0.487093347315721,0.501034822248549,0.428389247709402,0.60828709308043,256
pixel_1 _BC_Fjort,2019,79.1303426,11.8510515,123,0.441989475213434,0.446284907136743,0.4958175225704,0.4958175225704,0.398444618091839,0.613399111484899,256
pixel_1 _BC_Fjort,2020,79.1303426,11.8510515,70,0.410589641532836,0.416001762265064,0.452952455811863,0.455517291834651,0.403134880034374,0.543897258228916,257
pixel_1 _BC_Fjort,2021,79.1303426,11.8510515,66,0.410779547947568,0.421736790503689,0.460963503715623,0.460963503715623,0.382163843798899,0.51204846908265,256
pixel_1 _BC_Oss,1985,78.9302633,12.4439774,6,0.402501770086116,0.402501770086116,0.402501770086116,0.419288749779206,0.412855638894468,0.423551187708134,210
pixel_1 _BC_Oss,1986,78.9302633,12.4439774,7,0.431052596391277,0.431052596391277,0.431052596391277,0.480752687451392,0.477510265462318,0.482328228017703,215
pixel_1 _BC_Oss,1987,78.9302633,12.4439774,16,0.406840580190542,0.406840580190542,0.447233331682508,0.447233331682508,0.387910998689414,0.474597424215431,219
pixel_1 _BC_Oss,1988,78.9302633,12.4439774,9,0.43575067942739,0.43575067942739,0.43575067942739,0.463828333014249,0.461309438386152,0.497618446522317,222
