sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy
pixel_1 _REF_bolt,2005,78.1455244,15.9842379,2,0.543237335952319,0.543237335952319,0.543237335952319,0.543404551111735,0.543350433846556,0.543458668376914,203
pixel_1 _REF_bolt,2006,78.1455244,15.9842379,9,0.450976137086995,0.439865338305292,0.474727172651434,0.474727172651434,0.440610229731148,0.484769247233321,203
pixel_1 _REF_bolt,2010,78.1455244,15.9842379,14,0.494459065811008,0.494459065811008,0.5637800997935,0.5637800997935,0.455625196284903,0.58013779795526,203
pixel_1 _REF_bolt,2011,78.1455244,15.9842379,52,0.455772879477652,0.440219670003278,0.526199825693554,0.526199825693554,0.439051642315721,0.530811495485126,205
pixel_1 _REF_bolt,2013,78.1455244,15.9842379,34,0.491768105362189,0.485159462892776,0.528481835315526,0.528481835315526,0.474999425873985,0.56104493230113,204
pixel_1 _REF_bolt,2014,78.1455244,15.9842379,169,0.454371116072588,0.450124690515668,0.497594567035807,0.497594567035807,0.428014177407788,0.554694250590129,205
pixel_1 _REF_bolt,2015,78.1455244,15.9842379,71,0.435303193455993,0.441822981476302,0.473528691969771,0.490717274727274,0.364866095066406,0.544675310833239,205
pixel_1 _REF_bolt,2016,78.1455244,15.9842379,121,0.433007640013197,0.422177624919276,0.482555038827646,0.482555038827646,0.415694127776523,0.539214732527969,205
pixel_1 _REF_bolt,2017,78.1455244,15.9842379,60,0.453078068756893,0.466906557359751,0.489010957634359,0.499575925003544,0.388303589216776,0.54777133488586,205
pixel_1 _REF_bolt,2018,78.1455244,15.9842379,90,0.450871703875227,0.432342052219182,0.502132144781029,0.502132144781029,0.417652004331528,0.546948648430481,206
pixel_1 _REF_bolt,2019,78.1455244,15.9842379,48,0.486427981045337,0.496249731561254,0.511983696141625,0.511983696141625,0.457347880932839,0.525137776023929,206
pixel_1 _REF_bolt,2020,78.1455244,15.9842379,68,0.455165167506661,0.49463588542874,0.514420946655605,0.514420946655605,0.441544074921991,0.551855737310557,206
pixel_1 _REF_bolt,2021,78.1455244,15.9842379,66,0.442866364966459,0.439954342359064,0.497654611023141,0.497654611023141,0.40467056227839,0.52168180443703,207
pixel_1 _REF_col,2005,78.0936418,15.2244769,2,0.68748628538371,0.68748628538371,0.68748628538371,0.689092338724076,0.688696407294636,0.689488270153516,206
pixel_1 _REF_col,2006,78.0936418,15.2244769,15,0.555269778530909,0.555494399418767,0.562620277096252,0.565110318249328,0.550452896004475,0.601053351075642,205
pixel_1 _REF_col,2008,78.0936418,15.2244769,5,0.497157001249285,0.497157001249285,0.497157001249285,0.508830463946719,0.502048870616462,0.510599892438831,205
pixel_1 _REF_col,2010,78.0936418,15.2244769,7,0.450856643668325,0.450856643668325,0.450856643668325,0.520946388725392,0.496775962592938,0.533762135109949,205
pixel_1 _REF_col,2011,78.0936418,15.2244769,26,0.641684711115264,0.641684711115264,0.657163679269837,0.657163679269837,0.637945167050692,0.658352711203785,205
pixel_1 _REF_col,2014,78.0936418,15.2244769,123,0.57954952202065,0.560598800025811,0.669650748493193,0.669650748493193,0.543829483251919,0.6984334477204,205
pixel_1 _REF_col,2015,78.0936418,15.2244769,75,0.550812743068877,0.536166545772665,0.65502676115742,0.65502676115742,0.555581203493098,0.694283547374587,205
pixel_1 _REF_col,2016,78.0936418,15.2244769,64,0.623616530837773,0.64617284270501,0.652573629681264,0.652573629681264,0.625059420320189,0.658843935948537,204
pixel_1 _REF_col,2017,78.0936418,15.2244769,52,0.606263516031399,0.582777792845444,0.706276148598282,0.706276148598282,0.529726148609768,0.726735383311543,205
pixel_1 _REF_col,2018,78.0936418,15.2244769,97,0.564130708899464,0.562869129106561,0.60042805323289,0.611641687514397,0.552861518693741,0.674378276290711,205
pixel_1 _REF_col,2019,78.0936418,15.2244769,120,0.55318176575127,0.531931891064257,0.642077820576017,0.642077820576017,0.477800936217732,0.714863808343057,205
pixel_1 _REF_col,2020,78.0936418,15.2244769,70,0.56065804868995,0.554536820929747,0.640068381981636,0.640068381981636,0.599147207747666,0.662360439012702,205
pixel_1 _REF_col,2021,78.0936418,15.2244769,92,0.5834376977241,0.597867620884578,0.654976721863084,0.654976721863084,0.582538317954596,0.750627143836836,205
pixel_1 _REF_gron,2006,78.0038503,14.5465958,4,0.516664472367692,0.516664472367692,0.541872863616173,0.541872863616173,0.495692339274132,0.592010082118938,229
pixel_1 _REF_gron,2008,78.0038503,14.5465958,4,0.509306546237285,0.509306546237285,0.509306546237285,0.523930412114479,0.521036272503355,0.530364256723796,214
pixel_1 _REF_gron,2011,78.0038503,14.5465958,24,0.508418502881962,0.508418502881962,0.527403707766394,0.559519456751833,0.501453974482918,0.606843032160265,199
pixel_1 _REF_gron,2012,78.0038503,14.5465958,11,0.488635687156957,0.488635687156957,0.488635687156957,0.489226935280674,0.488635687156957,0.506316459454431,194
pixel_1 _REF_gron,2013,78.0038503,14.5465958,30,0.515595066035724,0.540008875309676,0.544624216107917,0.597383111089269,0.41010014736067,0.620074946271545,201
pixel_1 _REF_gron,2014,78.0038503,14.5465958,83,0.530868866478551,0.562737239796195,0.595440214078565,0.595440214078565,0.44133015162939,0.640560369538285,199
pixel_1 _REF_gron,2015,78.0038503,14.5465958,59,0.502354031621897,0.510035059632916,0.599015094074252,0.599015094074252,0.391340932327945,0.624993710460347,198
pixel_1 _REF_gron,2016,78.0038503,14.5465958,54,0.540018147324971,0.545827066783995,0.554392758423422,0.554392758423422,0.530012018122194,0.580567406176688,194
pixel_1 _REF_gron,2017,78.0038503,14.5465958,90,0.502459447849421,0.524748766764641,0.583048279120312,0.583048279120312,0.437676085889688,0.604324550628712,193
pixel_1 _REF_gron,2018,78.0038503,14.5465958,50,0.554678651570979,0.534602669655365,0.593872784701453,0.593872784701453,0.4922625740045,0.731529202866453,193
pixel_1 _REF_gron,2019,78.0038503,14.5465958,86,0.545231479031495,0.548424276358591,0.602038602007354,0.602038602007354,0.547405063790456,0.681625754122905,192
pixel_1 _REF_gron,2020,78.0038503,14.5465958,63,0.509331182500974,0.51301825778486,0.558654140403589,0.558654140403589,0.52779443690609,0.650609125419527,192
pixel_1 _REF_gron,2021,78.0038503,14.5465958,60,0.49281869451019,0.508218354736719,0.52922344258297,0.552246289117073,0.438993996819357,0.596376777570986,191
